UniqueCarrier,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",, 
FlightNum,Flight Number,,
Origin,Origin Airport,,
Dest,Destination Airport,,
DepDelay,Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.,,
TaxiOut,"Taxi Out Time, in Minutes", ,
WheelsOff,Wheels Off Time (local time: hhmm),,
WheelsOn,Wheels On Time (local time: hhmm), ,
TaxiIn,"Taxi In Time, in Minutes",,
ArrDelay,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.,,
Cancelled,Cancelled Flight Indicator (1=Yes),,
Diverted,Diverted Flight Indicator (1=Yes),,
AirTime,"Flight Time, in Minutes", ,
Distance,Distance between airports (miles),,
,,,
Note:,The original dataset was modified to address data integrity issues that are being covered in the STAT412 course.,,
