MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,SOURCE_ROW,RANDOM_VALUE
1,2,1,B6,1059,BOS,PHL,96,27,1744,1850,11,99,0,0,66,280,534,4.340588919271582e-05
1,23,1,B6,1446,CLT,BOS,62,17,1909,2048,7,65,0,0,99,728,507,0.0008056530964357655
1,22,7,WN,3277,MKE,MCO,142,15,1332,1701,8,154,0,0,149,1066,1692,0.0010928841087126662
1,5,4,WN,1413,SNA,LAS,34,9,928,1014,10,39,0,0,46,226,1726,0.0015372099549529894
1,29,7,DL,997,LAS,JFK,9,18,2337,704,3,4,0,0,267,2248,863,0.0017964287747009866
1,8,7,DL,206,MSP,MSY,-3,37,1034,1236,3,-7,0,0,122,1039,791,0.0019865846131477127
1,1,7,AA,642,JAX,CLT,-5,18,1053,1158,13,8,0,0,65,328,203,0.0023052260354996523
1,6,5,B6,703,JFK,SJU,5,39,1755,2215,5,15,0,0,200,1598,489,0.0023968781299492647
1,16,1,WN,548,MDW,STL,4,11,1155,1246,5,6,0,0,51,251,1696,0.0037316761313423985
1,19,4,UA,1499,IAH,ORD,-5,16,521,713,15,-25,0,0,112,925,1438,0.005449374016233355
1,16,1,UA,1126,IAH,DEN,15,20,935,1030,8,3,0,0,115,862,1404,0.009161427305963143
1,26,4,UA,1708,MCI,IAH,-9,14,605,743,4,-23,0,0,98,643,1236,0.010821977922203074
1,27,5,B6,1206,PDX,JFK,9,16,2231,626,5,18,0,0,295,2454,303,0.01133641062480184
1,2,1,NK,947,DEN,LAX,-5,29,739,902,12,30,0,0,143,862,960,0.011411833646114755
1,19,4,AA,2119,BOS,DCA,-5,11,1606,1712,7,-30,0,0,66,399,43,0.014647809854460236
1,11,3,AA,2292,DFW,DEN,22,16,2123,2200,10,18,0,0,97,641,167,0.014762375224371516
1,24,2,B6,1916,BUF,BOS,9,26,1955,2123,5,47,0,0,88,395,408,0.015500716085580901
1,8,7,NK,562,LAS,DEN,41,12,848,1109,7,35,0,0,81,628,921,0.01597365986894006
