MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE
1,31,2,AA,1790,LAX,CLT,-7,18,1321,2029,15,-12,0,0,248,2125
1,6,5,AA,2463,DFW,MSY,35,19,2124,2224,6,37,0,0,60,447
1,12,4,AA,970,MCI,DFW,-10,11,1119,1242,8,-14,0,0,83,460
1,2,1,AA,2531,EWR,CLT,-2,17,630,809,6,-5,0,0,99,529
1,8,7,AA,2575,AUS,ORD,-2,19,822,1039,6,1,0,0,137,977
1,26,4,AA,425,MCO,DFW,-9,18,800,936,10,-9,0,0,156,985
1,24,2,AA,610,DFW,DCA,-5,16,1856,2222,18,3,0,0,146,1192
1,3,2,AA,717,PHL,LAX,18,18,1826,2129,62,86,0,0,363,2402
1,16,1,AA,2561,LAX,DFW,5,13,1108,1538,10,-15,0,0,150,1235
1,9,1,AA,1795,CLT,IND,11,23,1019,1135,5,8,0,0,76,427
1,1,7,AA,2554,ORD,SJC,0,10,1710,1934,2,-4,0,0,264,1829
1,31,2,AA,1721,LAX,AUS,2,28,900,1335,3,-5,0,0,155,1242
1,21,6,AA,2268,LAX,EGE,-5,15,1000,1242,21,-14,0,0,102,748
1,12,4,AA,647,IAH,PHX,-8,14,811,938,12,-23,0,0,147,1009
1,19,4,AA,1409,MSP,ORD,-5,12,1432,1528,11,-17,0,0,56,334
1,2,1,AA,386,JAX,DFW,30,15,2021,2143,5,28,0,0,142,918
1,25,3,AA,626,PHX,LAS,-6,15,2135,2120,5,-15,0,0,45,255
1,3,2,AA,1213,SAT,DFW,1,13,1059,1139,10,-5,0,0,40,247
1,29,7,AA,1513,DFW,COS,99,13,1647,1711,5,85,0,0,84,592
1,31,2,AA,1505,DFW,ONT,-3,8,1225,1257,6,-27,0,0,152,1188
1,26,4,AA,2562,ORD,PHL,-4,11,1347,1624,5,-6,0,0,97,678
1,21,6,AA,401,PHL,BOS,0,28,1818,1913,4,6,0,0,55,280
1,29,7,AA,717,PHL,LAX,0,31,1836,2042,7,-45,0,0,306,2402
1,4,3,AA,2320,DFW,ORD,4,17,706,849,18,5,0,0,103,802
1,6,5,AA,582,GEG,PHX,-4,24,645,949,22,-1,0,0,124,1020
1,17,2,AA,2473,IAH,DFW,-8,14,510,550,6,-17,0,0,40,224
1,18,3,AA,180,LAX,JFK,-10,16,1636,26,4,-28,0,0,290,2475
1,29,7,AA,2023,PHL,ORD,-6,9,753,837,10,-33,0,0,104,678
1,19,4,AA,1719,CLT,FLL,-2,26,1353,1527,3,-1,0,0,94,632
1,6,5,AA,2228,SMF,DFW,15,13,1210,1648,29,17,0,0,158,1431
1,29,7,AA,1941,ILM,CLT,-4,10,711,753,7,-15,0,0,42,185
1,31,2,AA,1743,DFW,CLT,-6,18,2047,2346,7,-6,0,0,119,936
1,4,3,AA,1632,DFW,LAS,17,20,1157,1242,7,34,0,0,165,1055
1,22,7,AA,1480,RSW,ORD,8,13,1411,1550,16,-4,0,0,159,1120
1,11,3,AA,1646,CLT,PHX,0,13,743,945,22,-14,0,0,242,1773
1,11,3,AA,1854,CLT,ATL,-5,24,2249,2327,5,-12,0,0,38,226
1,24,2,AA,1284,MIA,ORD,-3,10,1528,1730,19,3,0,0,182,1197
1,22,7,AA,1802,CLT,MSY,-3,23,1659,1738,4,-8,0,0,99,651
1,19,4,AA,2043,CLT,PBI,13,11,2234,2358,5,6,0,0,84,590
1,7,6,AA,1126,SMF,DFW,-5,19,615,1058,10,-17,0,0,163,1431
1,15,7,AA,1399,LGA,MIA,-4,13,549,817,7,-29,0,0,148,1096
1,10,2,AA,506,PHL,PHX,0,30,715,1001,10,-6,0,0,286,2075
1,19,4,AA,2119,BOS,DCA,-5,11,1606,1712,7,-30,0,0,66,399
1,18,3,AA,1903,CLT,PVD,-5,19,809,935,4,-14,0,0,86,683
1,9,1,AA,2293,DFW,DCA,27,19,2058,19,16,38,0,0,141,1192
1,2,1,AA,2412,DFW,SAT,4,23,737,823,8,9,0,0,46,247
1,17,2,AA,1528,DFW,ORD,-3,24,1256,1445,10,-1,0,0,109,802
1,18,3,AA,1353,ABQ,DFW,-10,14,1649,1907,12,-11,0,0,78,569
1,2,1,AA,557,CLT,SFO,40,14,1549,1813,10,43,0,0,324,2296
1,26,4,AA,1733,CLT,MCO,-3,12,1814,1926,9,-17,0,0,72,468
1,25,3,AA,279,JFK,MCO,-4,18,1513,1734,8,-19,0,0,141,944
1,7,6,AA,2528,DFW,HDN,22,14,1431,1552,5,44,0,0,141,769
1,31,2,AA,630,FLL,PHL,-2,9,1652,1918,8,-1,0,0,146,992
1,5,4,AA,2642,DFW,DEN,31,40,1054,1145,5,60,0,0,111,641
1,10,2,AA,637,CLT,LAS,0,32,1712,1858,7,23,0,0,286,1916
1,13,5,AA,1806,MIA,CLT,-1,11,1505,1640,6,-17,0,0,95,650
1,14,6,AA,582,PHX,MKE,-6,12,1136,1520,5,-34,0,0,164,1460
1,18,3,AA,1467,SMF,PHX,14,12,1313,1543,5,16,0,0,90,647
1,26,4,AA,2540,PBI,DFW,-12,14,1515,1714,11,-11,0,0,179,1102
1,8,7,AA,682,LAX,IAD,99,18,1147,1911,7,96,0,0,264,2288
